"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"439","53.78199999999995","53.78199999999995","53.78199999999995"
"440","54.384999999999934","54.384999999999934","54.384999999999934"
"441","52.706999999999944","52.706999999999944","52.706999999999944"
"442","52.63999999999994","52.63999999999994","52.63999999999994"
"443","52.071999999999925","52.071999999999925","52.071999999999925"
"444","50.83799999999993","50.83799999999993","50.83799999999993"
"445","50.47599999999994","50.47599999999994","50.47599999999994"
"446","51.14799999999992","51.14799999999992","51.14799999999992"
"447","50.854999999999926","50.854999999999926","50.854999999999926"
"448","51.774999999999935","51.774999999999935","51.774999999999935"
"449","51.34999999999993","51.34999999999993","51.34999999999993"
"450","51.48799999999992","51.48799999999992","51.48799999999992"
"451","50.908999999999935","50.908999999999935","50.908999999999935"
"452","51.94499999999993","51.94499999999993","51.94499999999993"
"453","50.746999999999936","50.746999999999936","50.746999999999936"
"454","50.968999999999944","50.968999999999944","50.968999999999944"
"455","50.88399999999994","50.88399999999994","50.88399999999994"
